"A[0,1]",b[0],"Q[0,0]",p[1],x
1.8317125877199933,-1.0470800610111641,0.18010772942998243,0.5697937356962305,"[-2.537993331428584, -1.0848503832215854]"
1.3771040981305005,-1.123200791001079,0.2226607382721142,0.3633453678342874,"[-0.9998100704630535, -1.0845389853129903]"
1.900582711511917,-0.9382175460648484,0.4022715559361154,0.9750787542369608,"[-1.7462168226464938, -0.8339566149329356]"
1.5983030711762245,-1.075674759594808,0.08571559868452894,0.15593077406299882,"[-2.3022110300880354, -1.2065186162553898]"
1.2501231906210197,-0.8952870868813532,0.5754514974834568,0.6601280572027075,"[-0.6664529768279084, -0.9136190512774891]"
2.3479933996385793,-0.6639251091627131,0.5133207904164196,0.5605992021375399,"[-1.6235660199415185, -0.5388768012867231]"
2.158345490197428,-0.8762739743196863,0.8817450072301452,0.7265781531103531,"[-0.9438991245336164, -0.5679755089540325]"
2.165739137068535,-1.1180770573448904,0.5227907125418119,0.36425399397923486,"[-1.3060936305760924, -0.739629493281193]"
1.5308873938999659,-0.956196569309874,0.512924876123961,0.0549664531520111,"[-0.8132259633194451, -0.821359875815897]"
2.2990384431298807,-1.1340812045710122,0.10362909007813381,0.2286754458004734,"[-4.399132723473418, -1.2020188615997183]"
1.530774699015331,-1.0157990074321668,0.41391613994334064,0.5049186974235066,"[-1.0863781582154914, -0.926449516539956]"
1.5306430990835969,-0.9251183592000815,0.567627469846824,0.021529970581598445,"[-0.7620686834052286, -0.7888076524757239]"
1.636219512950405,-0.9618792156823731,0.29593875367671063,0.13791920176699812,"[-1.4054585866974647, -0.906021910800646]"
1.4677577616415778,-1.224023506857433,0.1369346459421915,0.9229198791077985,"[-1.8341328728399289, -1.2967894778100963]"
1.4303552870794092,-0.9795511368356279,0.15599386848600305,0.5631465030538261,"[-1.718589139086704, -1.1298618720959064]"
1.513075361444895,-0.998246687938969,0.10735137158668606,0.2768805034386198,"[-2.0314235101686466, -1.157028292858849]"
1.4366854753695093,-1.1956933654090864,0.6568503952603395,0.16451712543509422,"[-0.4656581527537388, -0.952309841532632]"
1.768821842933827,-1.134839753144746,0.4001103971888419,0.41344566328783394,"[-1.2856689319919052, -0.9107995069541447]"
1.4919111021608504,-1.0587316016528399,0.8364398273032277,0.5828132001577689,"[-0.6032668928869874, -0.8594193162617407]"
1.285430000935474,-0.7609871316782931,0.16474459698486987,0.7139459363808264,"[-1.6769282300246933, -1.0752114093795941]"
1.4711300989747405,-0.7871185668725948,0.06112445151674639,0.2846678532261683,"[-2.656403249612285, -1.203857406353659]"
2.054822227429933,-0.9582397153166565,0.5778399252665722,0.16900544122183125,"[-1.152475408511867, -0.6740768691125577]"
2.3040955767590128,-1.0604941680550821,0.7897378686684725,0.8760142801344628,"[-1.05948840780016, -0.6305818860231848]"
1.3132607430831509,-0.9555723661266696,0.8904185908312998,0.6375255416201683,"[-0.49965665762073386, -0.8685567745067113]"
2.2432706360720998,-0.6590865282710349,0.7799388644818552,0.02009493502520099,"[-0.9954266032572966, -0.458163741852344]"
2.3788520968585263,-1.1217200397489455,0.7063425976396677,0.5542317898536893,"[-1.1116253909142282, -0.6446209714723363]"
2.052075850782528,-1.098662280790035,0.5690856213062752,0.8168113764567521,"[-1.2859838252954872, -0.7675063598069121]"
2.1037825230647758,-1.1056381116508252,0.766184397623595,0.4797694875198545,"[-0.9391369801117491, -0.6908924918472918]"
2.3519105551589843,-0.6632442840829106,0.9050894226836028,0.1841200312670972,"[-0.9145145521392674, -0.4260255035699723]"
1.440319845333557,-0.7069029279917128,0.9204107297666189,0.10967332694643916,"[-0.5805879883144666, -0.6400998003286741]"
2.272595249633,-0.8851386585575501,0.9678136444853473,0.18441816108348918,"[-0.8015441875145729, -0.5201211024391602]"
2.404201649285691,-0.8818831397048632,0.4880368897910743,0.6988666854055692,"[-1.6775197516957783, -0.62524990354249]"
1.7375286822311538,-1.0050227099923097,0.700394595317929,0.4410082473457152,"[-0.8654026667484136, -0.7629004942480515]"
2.069020904176557,-1.2303444007373368,0.32194062392021083,0.39150256994194577,"[-1.7956376571130364, -0.9161025746074892]"
1.2447892788207255,-0.8361993526402705,0.9075550629366126,0.6828093094063059,"[-0.5144327021419248, -0.8248315251144489]"
1.715368737090835,-1.0482030007559575,0.8432246046498837,0.09407428227158632,"[-0.6352154986808347, -0.7482252170437643]"
1.3117774303845933,-0.9619324550513013,0.5198400561784756,0.18894010236849434,"[-0.5693953424335062, -0.8940787295718867]"
